wxtail-10
   0.9954423      0.5209445E-01
   0.9943712      0.5200713E-01
   0.9911544      0.5176486E-01
   0.9858255      0.5129233E-01
   0.9784007      0.5061270E-01
   0.9689229      0.4971323E-01
   0.9574049      0.4863679E-01
   0.9439085      0.4743492E-01
   0.9284559      0.4621304E-01
   0.9111294      0.4496536E-01
   0.8920180      0.4364667E-01
   0.8711810      0.4226740E-01
   0.8487167      0.4084491E-01
   0.8247150      0.3944580E-01
   0.7992779      0.3806775E-01
   0.7725205      0.3669047E-01
   0.7444998      0.3556766E-01
   0.7168712      0.3501288E-01
   0.7030544      0.3493285E-01
   0.6889345      0.3749216E-01
   0.6607200      0.4275000E-01
   0.6294100      0.4838000E-01
   0.5975500      0.5362000E-01
   0.5652600      0.5845000E-01
   0.5327000      0.6278000E-01
   0.5000000      0.6658000E-01
   0.4673000      0.6972000E-01
   0.4347400      0.7213000E-01
   0.4024500      0.7380000E-01
   0.3705900      0.7477000E-01
   0.3392800      0.7507000E-01
   0.3086600      0.7471000E-01
   0.2788600      0.7375000E-01
   0.2500000      0.7223000E-01
   0.2222100      0.7020000E-01
   0.1956200      0.6768000E-01
   0.1703300      0.6471000E-01
   0.1464500      0.6133000E-01
   0.1240800      0.5757000E-01
   0.1033200      0.5348000E-01
   0.8427000E-01  0.4909000E-01
   0.6699000E-01  0.4445000E-01
   0.5156000E-01  0.3961000E-01
   0.3806000E-01  0.3462000E-01
   0.2653000E-01  0.2948000E-01
   0.1704000E-01  0.2436000E-01
   0.9610000E-02  0.1940000E-01
   0.4280000E-02  0.1406000E-01
   0.1070000E-02  0.7610000E-02
    0.000000       0.000000    
   0.1070000E-02 -0.7610000E-02
   0.4280000E-02 -0.1406000E-01
   0.9610000E-02 -0.1940000E-01
   0.1704000E-01 -0.2436000E-01
   0.2653000E-01 -0.2948000E-01
   0.3806000E-01 -0.3462000E-01
   0.5156000E-01 -0.3961000E-01
   0.6699000E-01 -0.4445000E-01
   0.8427000E-01 -0.4909000E-01
   0.1033200     -0.5348000E-01
   0.1240800     -0.5757000E-01
   0.1464500     -0.6133000E-01
   0.1703300     -0.6471000E-01
   0.1956200     -0.6768000E-01
   0.2222100     -0.7020000E-01
   0.2500000     -0.7223000E-01
   0.2788600     -0.7375000E-01
   0.3086600     -0.7471000E-01
   0.3392800     -0.7507000E-01
   0.3705900     -0.7477000E-01
   0.4024500     -0.7380000E-01
   0.4347400     -0.7213000E-01
   0.4673000     -0.6972000E-01
   0.5000000     -0.6658000E-01
   0.5327000     -0.6278000E-01
   0.5652600     -0.5845000E-01
   0.5975500     -0.5362000E-01
   0.6294100     -0.4838000E-01
   0.6607200     -0.4275000E-01
   0.6913400     -0.3705000E-01
   0.7090393     -0.3374036E-01
   0.7263426     -0.2765581E-01
   0.7539810     -0.1820284E-01
   0.7806959     -0.9674283E-02
   0.8063106     -0.1816960E-02
   0.8306850      0.5588114E-02
   0.8537178      0.1248245E-01
   0.8753138      0.1882898E-01
   0.8953660      0.2465958E-01
   0.9137758      0.2995689E-01
   0.9304842      0.3471048E-01
   0.9454227      0.3884739E-01
   0.9585162      0.4233402E-01
   0.9697078      0.4526190E-01
   0.9789217      0.4765828E-01
   0.9861311      0.4955906E-01
   0.9913003      0.5093762E-01
   0.9944059      0.5181017E-01
   0.9954423      0.5209445E-01
