windex1200 originalprofil
   0.61349	  -0.04680
   0.62249	  -0.04608
   0.63143	  -0.04528
   0.64034	  -0.04440
   0.64926	  -0.04343
   0.65823	  -0.04238
   0.66726	  -0.04125
   0.67636	  -0.04006
   0.68552	  -0.03880
   0.69476	  -0.03749
   0.70408	  -0.03613
   0.71350	  -0.03473
   0.72299	  -0.03331
   0.73252	  -0.03189
   0.74208	  -0.03048
   0.75167	  -0.02906
   0.76127	  -0.02765
   0.77085	  -0.02624
   0.78043	  -0.02483
   0.79000	  -0.02343
   0.79953	  -0.02202
   0.80903	  -0.02061
   0.81849	  -0.01920
   0.82789	  -0.01781
   0.83718	  -0.01645
   0.84628	  -0.01509
   0.85521	  -0.01369
   0.86406	  -0.01230
   0.87299	  -0.01097
   0.88203	  -0.00968
   0.89104	  -0.00843
   0.89986	  -0.00726
   0.90852	  -0.00622
   0.91714	  -0.00530
   0.92587	  -0.00447
   0.93473	  -0.00369
   0.94352	  -0.00292
   0.95206	  -0.00224
   0.96040	  -0.00167
   0.96860	  -0.00119
   0.97650	  -0.00078
   0.98385	  -0.00045
   0.99051	  -0.00021
   0.99644	  -0.00006
   1.00000	   0.00000
